Transaction_ID,Customer_ID,Transaction_Amount,Transaction_Type,Transaction_Date,Merchant_Category,Location,Device_Type,Account_Balance,Transaction_Status,Fraud_Label
TXN597520,CUST102632,500.14,Withdrawal,2024-07-01 11:47:00,Fuel,Kochi,Web Browser,48409.93,Success,0
TXN580947,CUST100735,1254.54,Debit,2024-07-01 11:49:00,Fuel,Jaipur,Web Browser,2444.12,Success,0
TXN516102,CUST102906,1391.74,Credit,2024-07-01 11:50:00,Electronics,Dubai,Mobile App,15964.07,Success,0
TXN611343,CUST101659,406.78,Transfer,2024-07-01 11:51:00,Entertainment,Ahmedabad,Mobile App,40530.72,Success,0
TXN607675,CUST102604,2554.39,Transfer,2024-07-01 11:53:00,Utilities,Mumbai,Web Browser,3112.58,Success,0
TXN551806,CUST102008,894.21,Debit,2024-07-01 11:54:00,Healthcare,Delhi,Web Browser,14383.06,Success,0
TXN535439,CUST102872,2680.31,Transfer,2024-07-01 11:55:00,Utilities,Mumbai,Mobile App,20176.4,Success,1
TXN599935,CUST102821,755.18,Transfer,2024-07-01 11:57:00,Entertainment,Jaipur,Mobile App,14573.63,Success,0
TXN521487,CUST102832,2049.45,Debit,2024-07-01 11:59:00,Electronics,Chandigarh,Mobile App,42063.24,Success,0
TXN591682,CUST101287,4752.76,Debit,2024-07-01 12:01:00,Fuel,Hyderabad,Web Browser,159564.13,Success,0
TXN525141,CUST102540,301.92,Debit,2024-07-01 12:02:00,Restaurant,Pune,Web Browser,30891.77,Success,0
TXN583329,CUST102843,1519.36,Withdrawal,2024-07-01 12:03:00,Entertainment,Chennai,Mobile App,37457.41,Success,0
TXN530678,CUST101778,9092.23,Withdrawal,2024-07-01 12:04:00,Electronics,Hyderabad,Mobile App,19902.76,Success,0
TXN586468,CUST101817,991.31,Debit,2024-07-01 12:04:00,Online Shopping,Kolkata,Mobile App,67796.12,Success,0
TXN606141,CUST100289,2276.96,Online Payment,2024-07-01 12:07:00,Grocery,Delhi,Mobile App,2611.32,Success,0
TXN606304,CUST100414,647.1,Deposit,2024-07-01 12:09:00,Utilities,Mumbai,Mobile App,44105.29,Success,0
TXN550801,CUST102384,1547.37,Debit,2024-07-01 12:11:00,Electronics,Chennai,Web Browser,116645.98,Failed,0
TXN524621,CUST102425,3390.21,Transfer,2024-07-01 12:13:00,Travel,Lucknow,Phone Banking,21812.38,Success,0
TXN574233,CUST102011,307.08,Transfer,2024-07-01 12:13:00,Online Shopping,Chennai,Mobile App,19974.83,Success,0
TXN610070,CUST101558,1626.29,Credit,2024-07-01 12:19:00,Electronics,Jaipur,POS Terminal,18699.17,Success,0
TXN535238,CUST100708,2779.82,Online Payment,2024-07-01 12:21:00,Electronics,Kolkata,POS Terminal,169451.21,Success,0
TXN601374,CUST102169,2987.07,Debit,2024-07-01 12:21:00,Jewelry,Pune,Web Browser,89259.74,Success,0
TXN521026,CUST101733,160.8,Deposit,2024-07-01 12:23:00,Entertainment,Chennai,Web Browser,112494.37,Success,0
TXN593561,CUST101953,1379.89,Transfer,2024-07-01 12:27:00,ATM Withdrawal,Dubai,Web Browser,,Success,0
TXN513925,CUST101556,639.85,Credit,2024-07-01 12:31:00,Restaurant,Kochi,Web Browser,27860.05,Success,0
TXN618070,CUST100178,1028.87,Deposit,2024-07-01 12:31:00,Healthcare,Kochi,ATM,117178.94,Success,0
TXN558181,CUST101574,3755.62,Deposit,2024-07-01 12:36:00,Healthcare,Delhi,Mobile App,14712.35,Success,0
TXN566437,CUST100415,604.09,Online Payment,2024-07-01 12:37:00,Healthcare,Chennai,POS Terminal,59741.18,Success,0
TXN526323,CUST100419,4314.54,Withdrawal,2024-07-01 12:39:00,Utilities,Kochi,Mobile App,77764.28,Success,0
TXN526921,CUST102080,3312.75,Credit,2024-07-01 12:44:00,ATM Withdrawal,Hyderabad,ATM,167188.4,Success,0
TXN551302,CUST100219,1698.07,Debit,2024-07-01 12:44:00,Jewelry,Kolkata,POS Terminal,53438.2,Success,0
TXN585299,CUST100743,5475.46,Credit,2024-07-01 12:47:00,Money Transfer,Mumbai,Web Browser,10862.14,Success,0
TXN509378,CUST101123,11959.51,Credit,2024-07-01 12:48:00,Travel,Bengaluru,ATM,73253.68,Success,0
TXN550931,CUST101512,4143.58,Debit,2024-07-01 12:49:00,Money Transfer,Ahmedabad,Web Browser,11919.2,Success,0
TXN530716,CUST102208,1507.15,Transfer,2024-07-01 12:51:00,Grocery,Delhi,Mobile App,8611.51,Success,0
TXN507822,CUST102340,1167.69,Withdrawal,2024-07-01 12:55:00,Electronics,Bengaluru,Mobile App,66824.75,Success,0
TXN609924,CUST101032,674.28,Debit,2024-07-01 12:55:00,Utilities,Pune,Phone Banking,17995.68,Success,0
TXN610668,CUST101116,2289.06,Withdrawal,2024-07-01 12:56:00,Money Transfer,Delhi,Phone Banking,39621.94,Success,0
TXN576324,CUST102433,221.19,Online Payment,2024-07-01 13:02:00,Restaurant,Hyderabad,Phone Banking,23090.97,Success,0
TXN557446,CUST101375,5513.46,Withdrawal,2024-07-01 13:03:00,Online Shopping,Delhi,Web Browser,51935.41,Success,0
TXN597977,CUST100970,2597.81,Online Payment,2024-07-01 13:04:00,Online Shopping,Pune,Web Browser,17515.28,Success,0
TXN502666,CUST101437,1623.97,Withdrawal,2024-07-01 13:06:00,Healthcare,Pune,Phone Banking,5411.95,Success,0
TXN524969,CUST100653,158.76,Transfer,2024-07-01 13:08:00,Utilities,Bengaluru,ATM,12784.08,Success,0
TXN584320,CUST100122,2421.48,Credit,2024-07-01 13:08:00,Jewelry,Delhi,Mobile App,16940.32,Success,0
TXN554330,CUST102958,2271.72,Credit,2024-07-01 13:08:00,Healthcare,Chennai,ATM,160873.39,Success,0
TXN541411,CUST101065,93.44,Transfer,2024-07-01 13:10:00,Restaurant,Dubai,Web Browser,19701.76,Success,0
TXN540414,CUST102513,447.7,Credit,2024-07-01 13:13:00,Utilities,Delhi,Mobile App,6466.52,Success,0
TXN555840,CUST100409,1305.29,Credit,2024-07-01 13:13:00,Entertainment,New York,Mobile App,165280.51,Success,0
TXN560829,CUST101605,11738.33,Credit,2024-07-01 13:14:00,Jewelry,Chennai,Mobile App,7530.15,Success,0
TXN574584,CUST100548,1393.71,Debit,2024-07-01 13:15:00,Online Shopping,Lucknow,Web Browser,85489.31,Success,0
TXN534908,CUST102982,6014.53,Transfer,2024-07-01 13:17:00,Restaurant,Delhi,Mobile App,50857.13,Success,0
TXN578237,CUST101052,1615.65,Transfer,2024-07-01 13:18:00,Entertainment,Chennai,Phone Banking,14825.98,Success,0
TXN615013,CUST102781,806.34,Transfer,2024-07-01 13:19:00,Online Shopping,Delhi,Mobile App,12379.51,Failed,0
TXN509836,CUST102999,1869.69,Deposit,2024-07-01 13:20:00,Entertainment,Delhi,POS Terminal,32200.98,Success,0
TXN505022,CUST101737,3441.0,Credit,2024-07-01 13:20:00,ATM Withdrawal,Bengaluru,Mobile App,18203.89,Success,0
TXN574913,CUST102314,4468.88,Debit,2024-07-01 13:21:00,Healthcare,Hyderabad,Web Browser,97321.37,Success,0
TXN579631,CUST101512,227.55,Deposit,2024-07-01 13:22:00,Money Transfer,Ahmedabad,POS Terminal,12298.33,Pending,0
TXN512020,CUST102507,1452.25,Debit,2024-07-01 13:22:00,Entertainment,Kochi,Web Browser,35564.75,Success,0
TXN546793,CUST102881,35795.05,Online Payment,2024-07-01 13:23:00,Jewelry,Delhi,ATM,73853.0,Success,0
TXN613766,CUST101627,12699.37,Debit,2024-07-01 13:23:00,Electronics,Bengaluru,Mobile App,62630.98,Success,0
TXN618276,CUST102069,107.67,Withdrawal,2024-07-01 13:26:00,Grocery,Pune,POS Terminal,15881.34,Success,0
TXN570468,CUST100203,11182.79,Debit,2024-07-01 13:29:00,Money Transfer,Delhi,ATM,111832.11,Success,0
TXN506522,CUST102631,1994.78,Online Payment,2024-07-01 13:32:00,Electronics,Pune,Web Browser,12041.78,Success,0
TXN509036,CUST101712,1627.21,Credit,2024-07-01 13:33:00,Travel,London,Phone Banking,9173.08,Success,0
TXN549802,CUST100557,395.93,Debit,2024-07-01 13:37:00,Healthcare,Pune,Mobile App,18737.25,Success,0
TXN536870,CUST102118,8636.77,Debit,2024-07-01 13:38:00,Travel,Pune,Mobile App,37930.43,Success,0
TXN572490,CUST100424,1868.46,Transfer,2024-07-01 13:38:00,Jewelry,Ahmedabad,Web Browser,20282.08,Failed,0
TXN596725,CUST102491,6144.09,Debit,2024-07-01 13:39:00,Travel,Kolkata,Mobile App,76573.14,Success,0
TXN531308,CUST101273,1629.39,Debit,2024-07-01 13:41:00,Jewelry,Hyderabad,Mobile App,41401.44,Success,0
TXN568817,CUST101077,366.13,Withdrawal,2024-07-01 13:42:00,Fuel,Pune,Web Browser,37620.79,Success,0
TXN579670,CUST100715,13832.36,Credit,2024-07-01 13:45:00,Money Transfer,Bengaluru,ATM,121623.16,Success,0
TXN570179,CUST102068,3300.27,Deposit,2024-07-01 13:47:00,Online Shopping,Chennai,Mobile App,34992.22,Failed,0
TXN596112,CUST101747,9200.66,Online Payment,2024-07-01 13:48:00,Electronics,Pune,Web Browser,157764.14,Pending,0
TXN587167,CUST101666,253.39,Online Payment,2024-07-01 13:48:00,Fuel,Chandigarh,Mobile App,204583.46,Success,0
TXN536246,CUST101005,1578.27,Transfer,2024-07-01 13:55:00,ATM Withdrawal,Hyderabad,POS Terminal,38353.03,Pending,0
TXN595859,CUST100350,254.67,Deposit,2024-07-01 13:56:00,Grocery,Ahmedabad,Mobile App,120070.19,Success,0
TXN613970,CUST101243,220.02,Debit,2024-07-01 13:57:00,Entertainment,Mumbai,Web Browser,47628.27,Success,0
TXN502688,CUST102909,618.55,Debit,2024-07-01 14:00:00,Restaurant,Ahmedabad,Mobile App,39115.54,Success,0
TXN552216,CUST102849,3851.14,Deposit,2024-07-01 14:01:00,Money Transfer,Hyderabad,Phone Banking,13075.36,Success,0
TXN583421,CUST100090,2599.86,Debit,2024-07-01 14:07:00,Jewelry,Delhi,Mobile App,17870.89,Success,0
TXN507921,CUST102793,1327.81,Deposit,2024-07-01 14:08:00,Grocery,New York,ATM,12228.4,Success,0
TXN577885,CUST102671,726.45,Credit,2024-07-01 14:09:00,Utilities,Kolkata,Mobile App,34211.12,Success,0
TXN526743,CUST102564,1070.09,Credit,2024-07-01 14:10:00,Healthcare,Ahmedabad,Web Browser,65734.17,Failed,0
TXN592988,CUST102871,404.46,Online Payment,2024-07-01 14:13:00,Grocery,Kolkata,Web Browser,32828.25,Success,0
TXN582583,CUST101530,309.14,Credit,2024-07-01 14:14:00,Entertainment,Chandigarh,Mobile App,19265.11,Success,0
TXN540093,CUST102643,603.26,Debit,2024-07-01 14:14:00,ATM Withdrawal,Singapore,Mobile App,52388.86,Success,0
TXN525417,CUST102411,160.36,Online Payment,2024-07-01 14:19:00,Entertainment,Dubai,Web Browser,34924.14,Failed,0
TXN530980,CUST102503,202.93,Debit,2024-07-01 14:21:00,Online Shopping,Chandigarh,ATM,17924.8,Success,0
TXN553385,CUST100262,1225.76,Online Payment,2024-07-01 14:26:00,Entertainment,Chennai,ATM,96091.38,Success,0
TXN549307,CUST102784,138.22,Credit,2024-07-01 14:27:00,ATM Withdrawal,Bengaluru,Mobile App,26213.54,Success,0
TXN555664,CUST101095,281.81,Online Payment,2024-07-01 14:29:00,Money Transfer,Kolkata,POS Terminal,33677.26,Success,0
TXN528482,CUST101135,1763.63,Credit,2024-07-01 14:31:00,Travel,Hyderabad,Web Browser,39914.58,Success,0
TXN612464,CUST101399,3822.04,Deposit,2024-07-01 14:35:00,Electronics,Kolkata,Web Browser,148292.93,Success,0
TXN557019,CUST102381,841.29,Online Payment,2024-07-01 14:35:00,Electronics,Bengaluru,Mobile App,35826.52,Success,0
TXN502269,CUST100027,3564.53,Online Payment,2024-07-01 14:36:00,Utilities,Mumbai,Web Browser,13830.92,Success,0
TXN551351,CUST102539,7906.17,Deposit,2024-07-01 14:37:00,Travel,Pune,Mobile App,55923.06,Success,0
TXN596238,CUST101186,860.22,Online Payment,2024-07-01 14:39:00,Restaurant,Kolkata,ATM,21138.29,Success,0
TXN586043,CUST100694,8700.25,Debit,2024-07-01 14:42:00,Money Transfer,Kochi,Web Browser,16243.85,Success,0
TXN612672,CUST101863,2221.07,Deposit,2024-07-01 14:44:00,Money Transfer,Pune,POS Terminal,46046.07,Success,0
TXN534753,CUST100716,26820.0,Transfer,2024-07-01 14:45:00,Jewelry,Ahmedabad,Web Browser,36015.48,Success,0
TXN525881,CUST100205,1217.92,Online Payment,2024-07-01 14:46:00,Fuel,Bengaluru,ATM,57669.7,Success,0
TXN568150,CUST102906,2677.65,Online Payment,2024-07-01 14:53:00,Jewelry,Dubai,Web Browser,9727.39,Success,0
TXN569989,CUST102555,575.61,Debit,2024-07-01 14:53:00,Online Shopping,Jaipur,Mobile App,16313.77,Success,0
TXN589043,CUST100594,2611.82,Credit,2024-07-01 14:54:00,Entertainment,Mumbai,POS Terminal,8794.22,Success,0
TXN524515,CUST102845,848.21,Online Payment,2024-07-01 15:04:00,Online Shopping,Ahmedabad,POS Terminal,115797.78,Success,0
TXN608754,CUST100439,23864.58,Deposit,2024-07-01 15:04:00,Travel,Ahmedabad,Mobile App,10406.79,Success,0
TXN539612,CUST102804,1635.18,Debit,2024-07-01 15:06:00,Restaurant,Delhi,ATM,70335.39,Success,0
TXN570805,CUST101767,1240.47,Debit,2024-07-01 15:08:00,ATM Withdrawal,Mumbai,Mobile App,78975.04,Success,0
TXN553078,CUST100714,13274.14,Deposit,2024-07-01 15:11:00,Healthcare,Lucknow,Mobile App,26933.29,Success,0
TXN597702,CUST100155,54375.96,Deposit,2024-07-01 15:13:00,Travel,Jaipur,Mobile App,47622.66,Success,1
TXN542404,CUST100089,5977.87,Credit,2024-07-01 15:13:00,Electronics,Pune,Web Browser,47132.4,Success,0
TXN605349,CUST101042,4447.57,Transfer,2024-07-01 15:19:00,Jewelry,Jaipur,ATM,55341.65,Success,0
TXN505492,CUST100722,4940.81,Debit,2024-07-01 15:19:00,Online Shopping,Mumbai,Phone Banking,54618.88,Success,0
TXN561486,CUST102639,1822.41,Online Payment,2024-07-01 15:23:00,Jewelry,Bengaluru,Web Browser,10228.44,Success,0
TXN569182,CUST101747,375.41,Online Payment,2024-07-01 15:23:00,Money Transfer,Pune,Web Browser,155325.51,Success,0
TXN577022,CUST102793,8383.04,Credit,2024-07-01 15:26:00,Electronics,New York,Web Browser,3560.2,Success,1
TXN533461,CUST102542,1245.47,Transfer,2024-07-01 15:27:00,ATM Withdrawal,Hyderabad,POS Terminal,16114.22,Success,0
TXN574312,CUST100823,606.69,Deposit,2024-07-01 15:29:00,Restaurant,Jaipur,Mobile App,27378.51,Success,0
TXN596435,CUST102317,1410.28,Debit,2024-07-01 15:33:00,Entertainment,Lucknow,Mobile App,34426.62,Failed,0
TXN585151,CUST100783,647.29,Withdrawal,2024-07-01 15:40:00,Fuel,Ahmedabad,Web Browser,70441.05,Success,0
TXN526524,CUST102137,4052.59,Debit,2024-07-01 15:45:00,Jewelry,Lucknow,Mobile App,21745.4,Success,0
TXN588569,CUST102091,7601.86,Debit,2024-07-01 15:51:00,Travel,Chandigarh,ATM,28184.45,Success,0
TXN522452,CUST101958,6967.04,Debit,2024-07-01 15:53:00,ATM Withdrawal,Chandigarh,Mobile App,,Success,0
TXN538653,CUST102306,4936.0,Debit,2024-07-01 15:54:00,Jewelry,Pune,Phone Banking,33500.33,Success,0
TXN573902,CUST102753,1490.1,Withdrawal,2024-07-01 15:56:00,Entertainment,Delhi,Mobile App,141149.19,Success,0
TXN535080,CUST100072,1865.31,Transfer,2024-07-01 15:57:00,Travel,Chandigarh,Mobile App,25642.4,Success,0
TXN578318,CUST100209,2691.62,Debit,2024-07-01 16:00:00,ATM Withdrawal,Pune,ATM,19548.08,Success,0
TXN592609,CUST102477,4932.41,Debit,2024-07-01 16:00:00,Utilities,Bengaluru,ATM,74445.08,Success,0
TXN594303,CUST102426,73.79,Debit,2024-07-01 16:02:00,Entertainment,Mumbai,Web Browser,34154.14,Success,0
TXN555242,CUST100063,3535.0,Credit,2024-07-01 16:08:00,Jewelry,Lucknow,Mobile App,6166.92,Success,0
TXN563095,CUST100730,977.97,Debit,2024-07-01 16:08:00,Healthcare,Chennai,Web Browser,43762.2,Success,0
TXN600670,CUST101244,27399.18,Debit,2024-07-01 16:13:00,Electronics,Ahmedabad,ATM,38819.0,Success,0
TXN578367,CUST101778,726.68,Deposit,2024-07-01 16:15:00,Electronics,Chandigarh,Web Browser,15399.31,Success,0
TXN594939,CUST101222,4529.54,Debit,2024-07-01 16:15:00,Restaurant,Kochi,POS Terminal,23819.17,Success,0
TXN522821,CUST102925,1342.06,Credit,2024-07-01 16:17:00,Utilities,Ahmedabad,Mobile App,107548.19,Success,0
TXN572439,CUST101585,768.23,Debit,2024-07-01 16:20:00,Utilities,Kochi,Mobile App,27471.54,Success,0
TXN614999,CUST102734,327.54,Credit,2024-07-01 16:22:00,Online Shopping,Chennai,POS Terminal,32324.5,Success,0
TXN582821,CUST100718,2597.95,Online Payment,2024-07-01 16:27:00,Electronics,Jaipur,Mobile App,48074.39,Success,0
TXN561066,CUST102098,22438.94,Transfer,2024-07-01 16:28:00,Jewelry,Delhi,POS Terminal,69987.73,Success,0
TXN547522,CUST101965,2471.18,Online Payment,2024-07-01 16:31:00,Electronics,Mumbai,Mobile App,58455.83,Success,0
TXN543486,CUST102625,202.88,Debit,2024-07-01 16:33:00,Restaurant,Kolkata,POS Terminal,18015.31,Success,0
TXN613273,CUST102731,449.11,Online Payment,2024-07-01 16:35:00,Online Shopping,Chennai,POS Terminal,89887.34,Success,0
TXN583576,CUST102940,1575.49,Credit,2024-07-01 16:37:00,Electronics,London,Mobile App,30323.0,Success,0
TXN558717,CUST102331,3630.51,Credit,2024-07-01 16:37:00,Jewelry,Hyderabad,Mobile App,23691.53,Success,0
